price_lkr,mileage_km,engine_cc,car_age,mileage_per_year,transmission_enc,fuel_type_Diesel,fuel_type_Electric,fuel_type_Hybrid,fuel_type_Petrol,make_grouped_Audi,make_grouped_Bmw,make_grouped_Daihatsu,make_grouped_Honda,make_grouped_Hyundai,make_grouped_Kia,make_grouped_Mazda,make_grouped_Mercedes-Benz,make_grouped_Micro,make_grouped_Mitsubishi,make_grouped_Nissan,make_grouped_Other,make_grouped_Perodua,make_grouped_Suzuki,make_grouped_Tata,make_grouped_Toyota,location_grouped_Anuradapura,location_grouped_Colombo,location_grouped_Dehiwala-Mount-Lavinia,location_grouped_Galle,location_grouped_Gampaha,location_grouped_Homagama,location_grouped_Horana,location_grouped_Kadawatha,location_grouped_Kaduwela,location_grouped_Kalutara,location_grouped_Kandy,location_grouped_Kelaniya,location_grouped_Kurunegala,location_grouped_Malabe,location_grouped_Matara,location_grouped_Moratuwa,location_grouped_Negombo,location_grouped_Other,location_grouped_Panadura,location_grouped_Piliyandala,location_grouped_Ratnapura
3050000.0,148000.0,799.0,14,10571.42857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2475000.0,130000.0,800.0,13,10000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7950000.0,74000.0,1300.0,5,14800.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8950000.0,236000.0,1500.0,11,21454.545454545456,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6675000.0,1120.0,650.0,0,1120.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3875000.0,96500.0,800.0,9,10722.222222222223,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7000000.0,196000.0,1500.0,13,15076.923076923076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11800000.0,48505.0,1000.0,7,6929.285714285715,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8950000.0,236000.0,1500.0,11,21454.545454545456,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4990000.0,97500.0,1000.0,10,9750.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
